100 10000
  0  76 -1.53457027311478100273e+01
  0  77  2.87204311278076076519e+01
  0  78  7.50533767060405132554e+00
  0  79 -1.60076862418899679597e+02
  0  80  7.94134030025546167053e+01
  0  81 -1.45757947426591272233e+01
  0  82  2.40354601392815752092e+01
  0  83  3.91019787444859048264e+01
  0  84 -5.04975482625514899837e+01
  0  85 -5.12444395307143878426e+01
  0  86  2.11920083027133578923e+01
  0  87  7.61914519391675426618e-01
  0  88  2.33500671225442317791e+02
  0  89 -4.56933776356374181660e+01
  0  90 -4.49054778174359299214e+01
  0  91  1.26247466287957053055e+02
  0  92 -1.99115015098431058505e+00
  0  93  4.92979601946683274605e+01
  0  94 -1.15432556879640472403e+02
  0  95  2.19019533595843398643e+02
  0  96 -1.99294343651029379316e+02
  0  97 -4.27377647523744599312e+01
  0  98  1.06347771824225265647e+01
  0  99  6.38620982572044795234e+01
  1   0  1.43684681313395884672e+02
  1   1  7.64656650453038423620e+02
  1   2 -6.80380465883431213570e+01
  1   3  4.56621837928742380086e+01
  1   4 -1.47202438364359444734e+01
  1   5 -4.36417357470223947757e+01
  1   6 -4.02341267288540027636e+00
  1   7  1.87370050154712330936e+01
  1   8  1.02679091978035597066e+01
  1   9 -1.15463833380917549221e+02
  1  10 -5.01659197658041549062e+01
  1  11 -8.36246821865053675538e+01
  1  12 -2.64311614888092378806e+01
  1  13 -6.66688374917676895848e+01
  1  14  3.44101707133866980826e+01
  1  15 -3.93699947955829054891e+00
  1  16 -1.57974654083635414281e+02
  1  17  1.76748409764745666450e+01
  1  18 -2.70203866756326078757e+01
  1  19 -2.03614837249569774258e+02
  1  20  7.38437768068438487035e+01
  1  21 -1.20803441704534463952e+02
  1  22  1.47736460492575645276e+01
  1  23  2.53578849137456643348e+01
  1  24 -8.40787822420980859306e+01
  1  25  1.99516194045718329164e+01
  1  26  9.00911025915851979562e+01
  1  27 -5.39152832536600072899e+01
  1  28  5.64521086791708555097e+01
  1  29  1.83797444145737323140e+01
  1  30 -8.73997095546382922748e+01
  1  31  2.33575433104260561379e+01
  1  32 -6.22545951633055807406e+01
  1  33  1.92542801725140719782e+01
  1  34  4.89041861382271036973e+01
  1  35 -8.33115641413906757862e+01
  1  36 -1.33942759605865887806e+02
  1  37  6.51052654159312549353e+00
  1  38 -6.27505529973578930480e+01
  1  39 -1.58692338924531295419e+01
  1  40  6.14205924912579703800e+01
  1  41 -1.65954622559645599722e+02
  1  42  7.03404379271390922668e+01
  1  43 -4.68533967385177785303e+00
  1  44 -1.81447906601363342816e+02
  1  45  3.45875172907666765809e+01
  1  46 -5.58613457404872946199e+01
  1  47  1.04675889256602729915e+02
  1  48  6.81445757976582768833e+01
  1  49 -2.03463247024538986807e+01
  1  50 -1.13959078275151071580e+02
  1  51 -2.07642666256712971062e+01
  1  52 -3.48509986287115722803e+01
  1  53  6.04619994255251711479e+01
  1  54  4.50137705039838493803e+01
  1  55 -9.26862823729809832685e+01
  1  56  4.02365058865800762078e+00
  1  57  1.17962787991451847347e+02
  1  58 -5.14342750436787383705e+01
  1  59  5.14128579570351220696e+01
  1  60 -1.12562965306219027184e+01
  1  61 -4.57796023624405634678e+01
  1  62 -1.91974316763087273330e+02
  1  63 -1.08720648751575581059e+02
  1  64 -1.62689002296609544373e+02
  1  65 -1.02809502385493345855e+02
  1  66 -1.64966183580390826080e+01
  1  67 -6.77785795909547488236e+01
  1  68  1.83010146176671497642e+02
  1  69 -5.81044680483391076109e+01
  1  70 -6.21014212927795981045e+01
  1  71  2.39890723461555808171e+01
  1  72 -6.60512118750921644050e+01
  1  73  2.90862403868000036766e+01
  1  74 -3.19619222539255964932e+01
  1  75 -3.55680539740867516230e+01
  1  76  3.83600936111518606708e+01
  1  77  4.59010562217243602845e+01
  1  78  3.13982911533808461968e+01
  1  79 -9.32022497108840397573e+00
  1  80 -5.32569525735071369610e+00
  1  81  8.12637133183636848344e+01
  1  82  1.00062543261162616659e+02
  1  83 -2.60082045135900614241e+02
  1  84  1.12623156980728396093e+02
  1  85 -1.45208566303281187970e+01
  1  86  7.43702792331952764471e+01
  1  87  1.93459137608482389936e+00
  1  88  1.27051015082928245192e+02
  1  89 -2.71032707154833722996e+01
  1  90  3.22403662252614751083e+01
  1  91  5.06599713393335022715e+01
  1  92 -3.06381735128195806794e+01
  1  93 -4.75976752759836116979e+01
  1  94  8.15133684813556698145e+01
  1  95  1.85834987602736561030e+02
  1  96 -8.35857382885246380511e+00
  1  97 -4.63551625858257665413e+01
  1  98  6.78416024837479056941e+01
  1  99  6.10690537870216871852e+01
  2   0  1.54387771017355639458e+01
  2   1 -6.80380465883431213570e+01
  2   2  8.49077586996184891177e+02
  2   3  4.86603194897795674478e+01
  2   4 -4.62442133734876961171e+01
  2   5 -6.98232270867011237669e+01
  2   6  1.45803767455704587519e+02
  2   7 -6.56110073950758305728e+01
  2   8  5.73019787394832178506e+01
  2   9 -6.26365874364886732195e+00
  2  10 -4.78999656296563145474e+01
  2  11 -1.93954695722158561466e+02
  2  12 -5.65198699797330839090e+00
  2  13  6.81950985310301973641e+01
  2  14 -3.22844688222078062267e+01
  2  15 -3.99524731102016303907e+01
  2  16  1.48603415510491601026e+02
  2  17 -1.82229031288152896195e+02
  2  18  2.07761190199098308540e+02
  2  19 -1.07908847740694042727e+02
  2  20  1.43021720673197279439e+02
  2  21  5.71106315257166414767e+01
  2  22  1.21398514203290375235e+02
  2  23  2.51634723199142378292e+01
  2  24  1.24323167696676520677e+02
  2  25 -1.40799411578227484654e+01
  2  26  3.00623345944644171368e+01
  2  27 -3.01228156131448088217e+01
  2  28  1.29905535561108052889e+02
  2  29  3.29599212705895183717e+01
  2  30  5.95958274962654002138e+01
  2  31 -9.90731867388424447540e+00
  2  32  5.87098835985917091307e+01
  2  33  3.20387203390634240918e+01
  2  34  3.36494496673180236712e+01
  2  35 -8.51540998112491394068e+01
  2  36  3.59040594105488040100e+01
  2  37  1.17431274265512428201e+02
  2  38 -1.20780297671698193085e+02
  2  39  1.32409308757112313515e+02
  2  40 -1.18989255343402774656e+02
  2  41  1.13628007954706813365e+01
  2  42 -2.22285450010088112549e+02
  2  43 -2.47608604047815035187e+01
  2  44  8.48619044712596206637e+01
  2  45 -7.86839769046761574600e+01
  2  46 -2.33503376265324469330e+01
  2  47  6.36441130985064660308e+01
  2  48  8.20969000692172841127e+01
  2  49 -8.68120280505773962432e+01
  2  50 -3.46650167092523489032e+01
  2  51  1.70709676406476127397e+01
  2  52  1.03378881508571012660e+02
  2  53 -3.39068222705115402960e+01
  2  54 -1.24241518318395009146e+02
  2  55 -1.85384330664794028110e+01
  2  56 -7.62026431195874431879e-01
  2  57  2.49730810719749172222e+01
  2  58 -1.25973286612600915646e+02
  2  59 -5.74697524326274855611e+00
  2  60 -1.23038083425215290845e+02
  2  61  5.61469658511721192440e+01
  2  62  6.55521512443262679426e+01
  2  63  3.92609659246935791543e+01
  2  64 -4.79950572314754992931e+01
  2  65  7.97880096202023452179e+01
  2  66 -9.25556440029865683528e+01
  2  67 -1.87602645233580069828e+01
  2  68 -1.19892268406438503803e+02
  2  69 -1.28889604045668306753e+02
  2  70  5.69540083536368157979e+01
  2  71  5.24589629476078371795e+01
  2  72 -7.82263726700969499461e+01
  2  73 -3.68426725702231365744e+01
  2  74 -4.18811768720560309021e+01
  2  75  3.14168191938991725465e+01
  2  76 -1.19150287293771995678e+02
  2  77  5.35430860168701272528e+01
  2  78  7.56083777353957486866e+01
  2  79 -9.89651182023930964249e+00
  2  80  5.08363386551364797583e+01
  2  81 -1.80022944704414271655e+02
  2  82 -1.85854413605967010881e+02
  2  83  1.33023367346658801580e+02
  2  84  2.74883518021286420208e+02
  2  85 -5.09732148697679434690e+01
  2  86 -4.61572142036248749264e+01
  2  87  2.90917657724336429226e+01
  2  88  8.07637623680493987877e+00
  2  89  1.19494420543146180336e+01
  2  90 -6.57291761379924110997e+01
  2  91  2.03901623405398950695e+01
  2  92 -1.46244127817860611884e+01
  2  93 -1.59999720261452953451e+01
  2  94  9.79797321156263762987e+01
  2  95 -1.01172669586984270040e+02
  2  96  5.99035379571890658212e+01
  2  97  8.38122594520611130520e+01
  2  98  7.44866115253114742245e+01
  2  99 -1.37881429596542695037e+01
  3   0  2.88998642639940079846e+01
  3   1  4.56621837928742380086e+01
  3   2  4.86603194897795674478e+01
  3   3  8.99331072678796772379e+02
  3   4  2.63563589247486405043e+01
  3   5 -1.78979267287947209297e+02
  3   6 -1.67503020111351190735e+01
  3   7  8.73626925696899832019e+01
  3   8 -8.64943781433613594345e+01
  3   9 -9.71687844214193887638e+01
  3  10  1.36131234499771778701e+02
  3  11  6.81694296021396866081e+01
  3  12  1.19261047290136204424e+02
  3  13 -7.56826933754503272667e+01
  3  14  2.03089205665793883782e+02
  3  15 -1.21365237713410536458e+01
  3  16  7.31047855507353716575e+01
  3  17 -3.31067709177127582620e+01
  3  18  1.43017937181171646444e+02
  3  19 -4.35035199960517715567e+00
  3  20  4.21735936947187610713e+01
  3  21  7.16927476667569330004e+00
  3  22  1.69001552063058113617e+01
  3  23 -9.11114370578239061160e+01
  3  24 -6.12080813967024113254e+01
  3  25 -7.61360989075828484829e+01
  3  26 -2.41337914362280194780e+01
  3  27  3.91351038321817270571e+01
  3  28 -4.33519020512104447107e+01
  3  29  1.15370786473814618489e+02
  3  30  9.83507391006626647822e+01
  3  31 -7.77866232719771346638e+01
  3  32 -1.71841833180506462497e+01
  3  33  5.65506679519464725558e+01
  3  34  1.98841653846085534951e+02
  3  35  1.11677602978221571561e+02
  3  36 -6.16409555981436270145e+01
  3  37  1.86508516783932748240e+02
  3  38  3.54305889795028292610e+01
  3  39  7.73795834803780877564e+01
  3  40  8.31823543396936599947e+01
  3  41  4.66343992387004888656e+01
  3  42 -2.26732310937075602908e+01
  3  43  1.04562041997618123901e+02
  3  44 -2.56737296266529924083e+01
  3  45  8.65163711681939560094e+01
  3  46  3.20906660953406870362e+01
  3  47  1.06665410098667905459e+02
  3  48  1.32960223799198217876e+02
  3  49 -1.20868016571312907104e+02
  3  50 -1.48061601498417729772e+02
  3  51 -1.48302107308429469867e+02
  3  52  1.42797569536359219455e+02
  3  53  6.39708159765558335152e+01
  3  54 -6.66510025485363257758e+01
  3  55  1.52369918063181728485e+01
  3  56  6.74237938239278378205e+01
  3  57 -4.85967804742604698731e+01
  3  58 -4.96688051215641763747e+01
  3  59 -1.10634555890172791237e+02
  3  60 -1.96649945145346833897e+01
  3  61 -6.31689591557774150488e+01
  3  62 -6.08348818376502631367e+00
  3  63 -5.83682426295795693250e+01
  3  64 -2.39863990933015038820e+01
  3  65 -2.78602100363440570163e+01
  3  66  6.11070375693353273761e+00
  3  67 -9.19919849233387907361e+01
  3  68 -7.30804293392416894903e+01
  3  69 -3.61190027700671265620e+01
  3  70 -7.82950122602079545686e+01
  3  71  1.19404477757329843257e+02
  3  72  1.27746639828257841032e+02
  3  73 -1.11941836102864755276e+02
  3  74  2.22697816126279839466e+01
  3  75 -1.78305646125237643673e+02
  3  76  1.21412118394035445590e+02
  3  77 -3.55233513602609818349e+01
  3  78  1.07855576652402387339e+01
  3  79 -6.91535049184631844810e+01
  3  80  5.86104570834291962456e+01
  3  81  4.81072940833668738492e+01
  3  82  1.31028454792908149784e+02
  3  83 -1.58616779179033272840e+02
  3  84 -1.24680298058327096555e+02
  3  85  4.19173058795003594668e+00
  3  86  8.89226620779425491747e-01
  3  87 -1.64636251427551734139e+01
  3  88  1.19047251967783779492e+02
  3  89 -2.31864641095297542961e+02
  3  90 -8.83619795220288750670e+01
  3  91  6.36869912826475736978e+00
  3  92  1.30929828475046946323e+02
  3  93  1.33400702722806325795e+01
  3  94 -4.21589282012465673688e+01
  3  95  7.23189128985390823345e+01
  3  96 -2.09397547225599076626e+01
  3  97  9.28670751678262860196e+01
  3  98 -1.42566784749969439616e+01
  3  99 -8.49421024401064705955e+00
  4   0  1.53501895346597706293e+02
  4   1 -1.47202438364359444734e+01
  4   2 -4.62442133734876961171e+01
  4   3  2.63563589247486405043e+01
  4   4  7.46349107573760079504e+02
  4   5  2.47089711942649579157e+01
  4   6  1.46307088656196393472e+00
  4   7 -5.00802320144593693385e+01
  4   8 -5.77981129981835266562e+01
  4   9  7.93565756177842160923e+01
  4  10 -3.42597283394520175648e+01
  4  11  1.23278691935875155394e+01
  4  12  1.54668650675614514967e+02
  4  13  9.55890442708544085804e+00
  4  14  7.11720565467848018670e+01
  4  15 -1.15787271470171987175e+02
  4  16  1.98271435968966223129e+01
  4  17 -8.52727566273278512199e+01
  4  18 -1.06587787878036891698e+02
  4  19 -1.12865262518324726670e+02
  4  20  8.63969949705172410859e+01
  4  21  8.78299424802268617896e+01
  4  22 -2.98427042738884189532e+01
  4  23 -3.21499615606007864699e+01
  4  24 -9.84504744780925200587e+00
  4  25 -8.44258619009459465587e+01
  4  26  2.02768175082822814659e+01
  4  27 -9.54668488790405405098e+01
  4  28  3.87175262721619688477e+01
  4  29  6.01086054490420096386e+01
  4  30 -4.12708144946648616269e+01
  4  31  6.51518783333183790774e+01
  4  32 -1.43747743296177731054e+02
  4  33  1.10442570023009295710e+02
  4  34  8.16378481582822814744e+01
  4  35 -6.76279336311763898948e+01
  4  36 -6.19174486125375054257e+01
  4  37  2.04464086239691425817e+02
  4  38  5.17686351974260006159e+01
  4  39 -6.43806556033680266182e+01
  4  40  7.91174682119690952931e+00
  4  41  9.27727948764927248249e+01
  4  42  8.61336066269439299958e+01
  4  43 -1.24171271918245366805e+02
  4  44 -8.75243563950259044759e+01
  4  45 -9.58441037037274412569e+00
  4  46  1.76676062116408502334e+02
  4  47  7.24247186425237003959e+01
  4  48 -4.63828976994251576116e+01
  4  49  8.22288807140717352695e+01
  4  50  6.07663767406782611147e+01
  4  51 -1.39810944900612188491e+01
  4  52  2.39900446617872447064e+01
  4  53 -1.48743966364347897979e+02
  4  54 -1.67116199825486489772e+02
  4  55 -1.78845360315558501441e+01
  4  56  1.74402893708298961428e+02
  4  57 -1.58433368280873850154e+02
  4  58  1.50419065141017540554e+01
  4  59 -4.74778830022988742598e+01
  4  60  2.78563835968063777671e+01
  4  61 -1.44141931598131350256e+02
  4  62 -9.03845998507508454622e+01
  4  63  3.45687692851301946462e+01
  4  64  4.15733807201521301522e+01
  4  65  1.44152263573146282027e+01
  4  66  1.44957745071708302476e+02
  4  67 -1.01057205713163696714e+02
  4  68  6.13807236294256686193e+00
  4  69 -3.69133913283987524778e+01
  4  70  9.74358421774651191072e+01
  4  71  5.25115556602268185316e+01
  4  72  8.03143908092610558924e+01
  4  73 -4.49620906258000871958e+01
  4  74 -3.78222933705454806841e+01
  4  75  9.43039375594967168581e+01
  4  76  2.78242690446538709637e+01
  4  77 -6.15114665858493694373e+01
  4  78 -3.10420721762494018492e+01
  4  79 -1.19138733073519460959e+02
  4  80 -1.07769494025681396465e+02
  4  81  3.40976860969953747826e+01
  4  82  1.10873522862807575962e+02
  4  83  1.64359892162177317232e+02
  4  84 -1.21385633151452481115e+02
  4  85  5.21916033982489366849e+01
  4  86 -1.67081468551063649919e+00
  4  87  3.75474400039432651965e+01
  4  88  2.72805137432592417213e+01
  4  89  8.87973961908226954165e+01
  4  90  6.52338106671979574003e+01
  4  91  3.69389867993910314681e+01
  4  92  1.07557443496691277574e+02
  4  93  3.06594572146786354949e+01
  4  94  7.80855437825716336420e+01
  4  95  1.12345514296046587788e+02
  4  96 -1.26771857626460473512e+02
  4  97 -9.53471425196737101260e+01
  4  98  2.14423603778897025052e+01
  4  99 -1.28696635483463353467e+02
  5   0 -6.13007697501860135958e+01
  5   1 -4.36417357470223947757e+01
  5   2 -6.98232270867011237669e+01
  5   3 -1.78979267287947209297e+02
  5   4  2.47089711942649579157e+01
  5   5  7.92270345400835481087e+02
  5   6  2.98513612439318016811e+01
  5   7 -1.69740765628558932576e+02
  5   8  3.52674780714315758701e+01
  5   9  1.04033510062443397715e+02
  5  10  5.17986741252927629375e+01
  5  11  8.61263810226748631749e+01
  5  12 -2.33970484204813153895e+01
  5  13  1.73545189387264514602e-01
  5  14 -1.03008616411606254815e+02
  5  15  2.83114962648459922434e+01
  5  16  8.51909828738123451330e+01
  5  17  4.78388575482022204710e+01
  5  18  1.09457938907143642382e+02
  5  19  8.96047519614668317445e+01
  5  20 -9.10630651146325931222e+01
  5  21  9.48285555873650487513e+00
  5  22 -3.21091952306232553127e+00
  5  23  2.83135972737798510934e+02
  5  24  8.18710809461902471185e+01
  5  25  2.88319350770780609139e+01
  5  26 -2.01441897969098278054e+01
  5  27 -7.13225704697565277002e+01
  5  28 -3.15371199709279110834e+01
  5  29 -6.52253258328334624139e+01
  5  30  7.98418855124751019048e+01
  5  31  1.19743785431556602816e+02
  5  32  6.32865042799496677617e+01
  5  33  7.31213848446106737811e+01
  5  34 -1.02131990473865698732e+02
  5  35 -2.05927019160279883181e+02
  5  36  8.22372234994385706841e+01
  5  37 -1.59763824398715730268e+01
  5  38  1.73312198201475467840e+02
  5  39 -1.02029554997820248730e+01
  5  40 -2.32370625365942551355e+01
  5  41  4.18538587301170323940e+01
  5  42  6.40918212166634191362e+01
  5  43 -6.45303858816563860046e+01
  5  44 -1.91824340654530999473e+02
  5  45  2.55411537206917813592e+01
  5  46 -3.52745880659686292802e+01
  5  47 -3.94005591324804171904e+01
  5  48 -2.24631117900884120786e+01
  5  49  1.41735047126609913448e+02
  5  50 -3.43630823362503790008e+01
  5  51 -1.12242068280604954111e+01
  5  52  4.30924043227616024865e+01
  5  53  1.02805364812095003657e+01
  5  54  6.14706019140877657492e+01
  5  55  4.11006150072859952616e+01
  5  56  5.99386569908199362544e+01
  5  57 -9.03090106786370370173e+01
  5  58  1.09685261610185349923e+02
  5  59  6.02467217931954479582e+01
  5  60 -3.15471409097770649765e+00
  5  61  5.37487363902929189408e+01
  5  62  1.52561651891121698554e+02
  5  63  8.15789313764370120907e+01
  5  64 -3.87745170919301873624e+00
  5  65 -2.25407841806335014212e+01
  5  66  9.45738900048221253769e+00
  5  67  2.29179776940698225474e+01
  5  68 -7.05900615222238485558e+01
  5  69  1.60695232069553668452e+01
  5  70  6.00441889345832109370e+01
  5  71 -9.68026572628545380894e+01
  5  72 -3.47765479326322832776e+01
  5  73  1.10707048429736634176e+01
  5  74  7.58527342979994045891e+01
  5  75  7.69697417429205188455e+01
  5  76  6.74122457716404142047e+01
  5  77 -3.47917257689543575339e+01
  5  78  4.06486367157793537785e+01
  5  79  8.46055225465984328537e+00
  5  80 -1.47560005079627671876e+02
  5  81 -1.92782910629289375493e+02
  5  82 -4.34950945190822011455e+01
  5  83  1.56939683838591520271e+02
  5  84 -3.96873583692732267991e+01
  5  85 -2.82591768501718512141e+01
  5  86 -3.89411453112679240007e+01
  5  87  4.37705480285348542679e+01
  5  88  3.46377155644162559867e+00
  5  89  6.61774479235464383464e+01
  5  90  2.56751903277784840895e+01
  5  91 -1.96840347228932728285e+01
  5  92 -2.02241559747096530941e+01
  5  93 -2.09047726765712866381e+02
  5  94 -8.99801122296075135409e+01
  5  95 -1.38410341372295562223e+02
  5  96 -1.13255926279933191836e+02
  5  97 -6.64073997252542085334e+01
  5  98 -7.29217874730319266519e+01
  5  99  4.28390218558080775324e+01
  6   0 -1.17586518701816089560e+01
  6   1 -4.02341267288540027636e+00
  6   2  1.45803767455704587519e+02
  6   3 -1.67503020111351190735e+01
  6   4  1.46307088656196393472e+00
  6   5  2.98513612439318016811e+01
  6   6  8.79672367965586317951e+02
  6   7  8.53592923779218892832e+01
  6   8 -1.52400109630700171692e+02
  6   9  9.16105345246918005842e+01
  6  10  1.30950295494848152345e+01
  6  11 -1.14530560387429176217e+02
  6  12 -1.97769111893492237186e+02
  6  13  2.20166645376290865954e+01
  6  14  7.09586152678027275442e+01
  6  15 -2.41742740300528851094e+01
  6  16  1.20721247300350910336e+02
  6  17 -8.06794734120397194488e+00
  6  18  3.04748457362324494113e+01
  6  19 -4.17288973631814101850e+01
  6  20  2.66678261867619568193e+01
  6  21 -2.12118978535782929384e+02
  6  22  1.71936028181094343381e+02
  6  23 -4.24936469740995832467e+01
  6  24  6.69667910568169588714e+00
  6  25  4.89785490219193846428e+01
  6  26 -9.29145685893966657432e+01
  6  27  1.27627415854079174551e+02
  6  28 -7.25280987196118900329e+01
  6  29 -1.67314430568889235929e+02
  6  30 -9.08158233832581203160e+01
  6  31 -2.58989462722705754416e+00
  6  32 -3.34264291019554207196e+01
  6  33  8.95496180402577266477e+01
  6  34 -4.04474474718760177439e+01
  6  35 -6.24429882403325180462e+01
  6  36 -8.37957957602530356667e+00
  6  37  8.79273713264410901047e+01
  6  38 -8.86929830157685046288e+01
  6  39 -5.11550606320606746635e+01
  6  40 -5.08715694469668306965e+01
  6  41 -1.15130934051009390373e+02
  6  42  2.38070229798378107944e+01
  6  43  7.91263923488168643416e+01
  6  44  1.39188983843172792376e+02
  6  45 -5.69513289058548721755e+01
  6  46 -1.62456969938839648648e+02
  6  47 -4.15292743472311940423e+01
  6  48  1.73783144050868720853e+01
  6  49  4.26256140442989917005e+01
  6  50 -1.84798675454213650937e+02
  6  51  3.64690200627820573231e+01
  6  52 -1.08098354011769416161e+02
  6  53 -1.44355107213763886875e+02
  6  54 -8.26390554832179162759e+01
  6  55 -1.11159054910150814521e+02
  6  56 -7.94696728776298755292e+01
  6  57 -2.20421028978072570226e+02
  6  58 -1.31021172171262293205e+02
  6  59  1.32223207290036111061e+01
  6  60 -9.61646746115801107635e+01
  6  61 -2.57391231476960413715e+01
  6  62  4.33360029938241879677e+01
  6  63 -1.81036301752980719471e+01
  6  64  1.19188379529432950221e+02
  6  65 -2.96799257662787958623e+01
  6  66 -2.26112351497028818414e+01
  6  67  9.06908029505546977589e+01
  6  68 -3.93836922106445541658e+01
  6  69 -1.70294957544503553493e+01
  6  70 -1.51950324499169880710e+02
  6  71 -5.08898438175145670925e+01
  6  72  5.00405405708082113847e+01
  6  73  9.72768029677647945164e+01
  6  74 -2.59471122715334381326e+01
  6  75 -5.44226677445080468942e+01
  6  76 -4.40610321130270676804e+01
  6  77 -5.43133820363142305609e+01
  6  78 -1.06078922091746207457e+02
  6  79 -3.73105743301209855645e+01
  6  80  7.10961614125834557854e+01
  6  81 -1.14920049971476998962e+02
  6  82 -1.02389633188068714276e+02
  6  83 -1.08154522255976658585e+02
  6  84  4.98595269913531602413e+00
  6  85  6.65374953739095928995e+01
  6  86 -1.00342134779239174236e+02
  6  87 -1.04925309725236772351e+02
  6  88  7.08740746128091387845e+01
  6  89  3.87866739571689134181e+00
  6  90  1.93227685025641960692e+02
  6  91 -9.61643696460639887391e+01
  6  92  6.39022931617704870177e+01
  6  93 -7.44831295875808940821e+00
  6  94  1.53212198912366091008e+02
  6  95 -1.16744774785311037135e+02
  6  96 -1.77726120866415691069e+01
  6  97  9.19298911170817518723e+01
  6  98 -5.42255204836263899892e+01
  6  99  4.05560620907121602841e+01
  7   0 -6.05082114337805592186e+01
  7   1  1.87370050154712330936e+01
  7   2 -6.56110073950758305728e+01
  7   3  8.73626925696899832019e+01
  7   4 -5.00802320144593693385e+01
  7   5 -1.69740765628558932576e+02
  7   6  8.53592923779218892832e+01
  7   7  8.28917360602204894349e+02
  7   8  4.42755547035454952720e+01
  7   9  5.14837631009650280589e+01
  7  10  1.59936318258792653069e+02
  7  11  4.28670592130806493714e+00
  7  12  2.16328605802054880769e+01
  7  13  1.44340860168256881479e+01
  7  14  1.27840898380533360523e+02
  7  15 -1.09394263616709803699e+01
  7  16  1.15712661528707570824e+02
  7  17  1.16235929244866753152e+02
  7  18 -1.04334982187650339824e+02
  7  19 -1.27195280060653956866e+02
  7  20 -1.02477500330289519326e+01
  7  21 -1.43773604628730389265e+01
  7  22  1.57698511270149282382e+02
  7  23 -1.58707974157363707945e+02
  7  24  9.12932536914280845508e+00
  7  25 -2.38884801087307678813e+01
  7  26 -3.84544080573370976595e+01
  7  27  1.34639797912359597376e+02
  7  28 -1.98433333354857666109e+01
  7  29 -2.12499632844174783486e+02
  7  30  1.22525413175030053026e+02
  7  31 -4.25019177247979058620e+01
  7  32 -8.66657833030272684027e+01
  7  33 -2.79355426987725827814e+01
  7  34  2.93070866774597362792e+01
  7  35  7.01051396873404897292e+00
  7  36 -3.97821433849152441553e+01
  7  37 -3.17134923148905167878e+00
  7  38 -7.14163451655498420223e+01
  7  39  1.28468098985253021738e+02
  7  40  1.04739411740217693847e+01
  7  41 -7.65795287535318180971e+01
  7  42  9.42127539881876856498e+01
  7  43  2.49812216966668252383e+01
  7  44  2.24755907133005109699e+02
  7  45  1.98713347523008565076e+02
  7  46  1.06702518704635991753e+02
  7  47  3.83158436089231884125e+01
  7  48  4.75661340940810717370e+01
  7  49 -4.56378271851950430005e+01
  7  50 -8.22055353862223654460e+01
  7  51 -8.99407039930321872134e+01
  7  52  8.82227458578223533436e+00
  7  53  1.05032553417400702500e+01
  7  54 -6.39704894875194298720e+01
  7  55  3.05105582609876009315e+01
