 - 12
alike - 13
alithoe - 0
alive - 3
all - 573
alliance - 6
alliances - 5
allot - 6
allotment - 2
allotments - 0
allotted - 21
allotting - 0
allow - 18
allowable - 0
allowance - 0
allowed - 28
allowing - 2
allows - 2
alloy - 0
almost - 22
alone - 21
along - 0
alongside - 0
already - 115
also - 446
alter - 21
alteration - 11
alterations - 10
altered - 12
altering - 0
alternate - 2
alternately - 3
alternative - 0
alters - 2
although - 33
altogether - 3
always - 63
am - 5
amadocus - 0
amasis - 0
ambassadors - 0
ambition - 2
ambitious - 3
ambracia - 3
ambractia - 0
amend - 0
amends - 0
amintas - 0
amiss - 0
amity - 0
among - 29
amongst - 65
amount - 2
amphipolis - 2
amuse - 2
amusement - 5
amusements - 0
an - 475
analogically - 0
analogous - 2
analogy - 5
analysis - 4
analytics - 0
anarchy - 2
anaxilaus - 0
ancestors - 3
ancient - 24
ancients - 6
and - 3011
andpia - 0
andromadas - 2
andronicus - 0
andros - 0
anew - 0
anger - 9
angry - 0
anima - 3
animal - 15
animalium - 3
animals - 24
animated - 5
annexed - 0
annihilate - 0
annos - 0
anon - 2
another - 122
anothers - 3
answer - 12
answerable - 0
answered - 2
answers - 0
antileos - 0
antimenides - 0
antiquity - 2
antisseans - 0
antisthenes - 0
any - 355
anyone - 5
anything - 46
anywhere - 2
apart - 2
apelt - 0
aphutaeans - 0
apollodorus - 0
apollonia - 2
apparent - 2
appeal - 4
appear - 20
appearance - 2
appearances - 0
appeared - 0
appearing - 2
appears - 11
appellation - 2
appellations - 2
appendix - 0
appertain - 2
appertains - 0
appetite - 4
appetites - 2
applicable - 7
application - 4
applied - 12
apply - 17
appoint - 8
appointed - 17
appointing - 5
appointment - 6
appointments - 5
appoints - 4
appolloniats - 0
appreciate - 0
appreciation - 0
apprehension - 2
approach - 7
approaches - 9
approbation - 0
appropriate - 0
appropriated - 5
approve - 9
approved - 9
approves - 2
approving - 0
approximate - 0
approximations - 0
apt - 5
arable - 0
arbiter - 0
arbitrarily - 2
arbitration - 0
arbitrator - 5
arcadians - 3
archelaus - 0
archias - 0
archilaus - 0
architas - 0
architect - 4
archive - 13
archon - 2
archons - 0
archytas - 0
ardent - 0
are - 1370
areopagites - 2
areopagus - 4
argives - 2
argo - 0
argonauts - 2
argos - 4
argument - 3
arid - 0
ariobarzanes - 0
arise - 63
arisen - 2
arises - 29
arising - 4
aristocracies - 13
aristocracy - 69
aristocratic - 4
aristocratical - 5
aristogiton - 0
aristophanes - 0
aristotle - 43
aristotles - 8
armed - 2
armies - 0
arms - 22
army - 9
arose - 16
around - 0
array - 0
arrive - 2
arrived - 3
arriving - 0
art - 57
artabanes - 0
articles - 0
artificer - 4
artificers - 10
artificial - 0
artisan - 0
artisans - 7
artist - 3
artists - 3
arts - 30
as - 1218
ascii - 2
ascribed - 2
ashamed - 0
asia - 4
asiatics - 0
aside - 0
asis - 0
ask - 0
asked - 6
asks - 0
aspirations - 3
aspire - 0
aspires - 0
aspiring - 0
assault - 0
assemblies - 18
assembly - 25
assessed - 0
assign - 2
assigned - 10
assigning - 0
assigns - 2
assist - 3
assistance - 7
assistant - 0
assisted - 0
assists - 0
associate - 5
associated - 9
associates - 0
association - 0
assume - 9
assumed - 4
assumes - 3
assuming - 2
assured - 2
astrology - 0
astyages - 0
at - 430
atarneus - 0
athenian - 0
athenians - 6
atheniensium - 0
athenientium - 0
athens - 21
attach - 0
attached - 2
attachment - 0
attack - 10
attacked - 2
attacking - 0
attain - 5
attainable - 0
attained - 2
attaining - 0
attainment - 3
attains - 2
attempt - 4
attempted - 0
attempting - 0
attempts - 3
attend - 24
attendance - 5
attendant - 0
attended - 15
attending - 13
attends - 4
attention - 18
attentions - 0
attentive - 3
attitude - 2
attribute - 0
attributed - 4
attributes - 0
aubert - 0
audience - 2
ausonians - 0
author - 3
authorise - 0
authorised - 0
authority - 4
autophradatus - 2
available - 2
avails - 2
avarice - 3
avaricious - 2
avoid - 7
avoided - 0
avoiding - 0
awaken - 0
away - 15
awayyou - 0
b - 81
babylon - 0
babylonia - 0
babylonians - 0
bacchanal - 0
bacchanals - 0
bacchiades - 0
back - 5
backward - 0
bad - 36
badly - 7
bain - 0
balance - 3
ballot - 0
band - 2
bands - 0
bane - 0
banish - 4
banished - 3
banishes - 0
banishing - 2
banishment - 2
barbarian - 3
barbarians - 15
barbarous - 2
bard - 0
barren - 0
barrier - 0
barter - 7
based - 4
basilides - 0
basis - 0
battle - 6
battles - 0
be - 1678
bear - 14
bearing - 3
bears - 4
beast - 5
beasts - 4
beat - 0
beauties - 2
beautiful - 5
beauty - 6
became - 5
because - 58
become - 17
becomes - 7
becoming - 5
bed - 0
been - 125
bees - 2
befallen - 0
befalling - 0
befalls - 0
before - 51
beforehand - 0
began - 0
begets - 0
begin - 8
beginning - 20
beginnings - 0
begins - 0
begun - 0
behaved - 0
behaving - 0
behaviour - 4
behind - 3
being - 190
beings - 4
bekker - 3
bekkers - 0
belief - 6
beliefs - 2
believe - 0
believes - 0
bellies - 0
belly - 0
belong - 13
belonged - 4
belonging - 3
belongs - 16
below - 5
bench - 0
bend - 0
benefactors - 0
beneficent - 0
benefit - 17
benefits - 0
benevolence - 0
bequeath - 0
beside - 0
besides - 58
besiege - 3
best - 155
bestformed - 0
bestframed - 0
bestgoverned - 0
bestow - 2
bestowed - 3
bestowing - 0
bestows - 0
bethese - 0
betrothed - 0
better - 92
between - 95
beyond - 8
bibliography - 0
bid - 0
biehl - 0
big - 0
bigger - 0
bill - 0
bills - 0
binary - 0
birds - 3
birth - 7
blackie - 0
blakesley - 0
blamable - 0
blame - 3
blass - 0
blend - 6
blended - 10
blending - 2
blessing - 0
blood - 0
blow - 0
blows - 5
blush - 0
board - 0
boast - 0
boatswain - 0
bodies - 15
bodily - 7
body - 77
bohns - 6
bold - 0
boldness - 0
bolland - 0
bond - 0
bonitz - 0
book - 20
books - 9
borders - 3
born - 10
borne - 0
both - 218
bought - 4
bound - 5
boundaries - 4
boundary - 6
bounded - 0
boundless - 4
bounds - 9
bourchier - 2
bowmen - 0
boy - 3
boys - 18
branch - 0
branches - 2
brandis - 0
brass - 3
brave - 4
bravely - 0
bravery - 3
breach - 2
bread - 0
breaking - 2
breaks - 0
breath - 0
breathe - 0
bred - 0
breed - 0
breeding - 0
brewer - 0
bribed - 0
bribery - 0
bribes - 0
bride - 0
bridegroom - 0
bridgman - 0
brief - 0
briefly - 4
brightness - 0
bring - 16
bringing - 2
brings - 3
broken - 2
brook - 2
brooked - 0
brother - 6
brothers - 8
brought - 35
brutal - 0
brute - 3
brutes - 2
buffoon - 0
builder - 2
builders - 2
building - 2
buildings - 9
builds - 0
built - 6
bulk - 0
bulwarks - 0
burgh - 0
burnet - 0
busied - 0
business - 90
businesspglaforg - 0
but - 1008
butcher - 0
buy - 3
buyers - 2
buying - 5
by - 720
bywater - 3
byzantium - 2
c - 12
calamities - 2
calamity - 2
calchis - 0
calcidians - 3
calculate - 2
calculated - 9
call - 40
calld - 0
called - 65
calling - 6
calls - 7
came - 9
camelot - 0
camicus - 0
campaigns - 0
can - 133
candidates - 3
cannot - 73
canvassed - 0
capable - 20
capacities - 3
capacity - 4
capital - 0
capricious - 0
card - 0
care - 67
careful - 4
carefully - 3
careless - 0
cares - 0
carpenter - 0
carpenters - 0
carriage - 0
carried - 5
carry - 6
carrying - 2
carthage - 12
carthaginian - 3
carthaginians - 6
case - 20
cases - 15
cast - 2
catanean - 0
cattle - 6
cause - 61
caused - 0
causes - 82
caution - 2
cautious - 2
cease - 5
ceased - 3
celebrated - 0
celts - 2
censurable - 0
censure - 8
censured - 4
censures - 0
censuring - 0
census - 33
centre - 0
centres - 2
century - 2
certain - 76
certainly - 19
certainty - 0
chalcas - 0
chalcedonian - 0
chalcidians - 3
chalcis - 0
chance - 6
chancemedley - 0
change - 18
changed - 20
changes - 10
changing - 2
chap - 2
chapter - 103
chapters - 0
character - 10
characterises - 0
characteristic - 0
characteristics - 0
characters - 4
chares - 2
charge - 9
charges - 2
charicles - 0
charilauss - 0
charilles - 0
charitable - 0
charities - 0
charondas - 7
chase - 0
chattel - 4
chattels - 0
check - 4
checks - 0
chians - 0
chief - 16
chiefly - 31
child - 27
childbirth - 0
childish - 0
childless - 0
children - 85
childrenreading - 0
childrens - 2
childs - 4
chios - 4
choice - 14
chones - 2
choose - 28
chooses - 6
choosing - 6
choregi - 0
choregus - 2
chorus - 0
chose - 5
chosen - 45
christ - 2
chronology - 0
chytrum - 0
cinadon - 0
circle - 0
circumstance - 6
circumstances - 22
circumvented - 0
cisterns - 0
citadel - 3
cities - 51
citizen - 89
citizenmaker - 0
citizens - 153
citizenship - 2
citizenswho - 0
city - 265
cityfor - 0
citygate - 0
cityguard - 0
cityslaves - 0
civil - 24
claim - 11
claims - 3
clash - 0
class - 10
classes - 8
classical - 6
classics - 2
clazomene - 0
cleander - 0
clear - 13
clearer - 0
clearly - 3
cleomenes - 0
cleotimus - 0
clerk - 2
clisthenes - 4
cloth - 0
clothe - 0
clothes - 2
clothing - 0
clothmaking - 0
clubs - 4
cnidus - 2
co - 0
coarse - 0
coat - 0
codes - 0
codrus - 0
coffers - 0
cognisance - 6
cold - 6
collect - 5
collected - 8
collecting - 3
collection - 6
collective - 7
collectively - 7
colonies - 4
colony - 6
colophon - 0
colophonians - 0
columns - 0
combination - 3
combinations - 4
combine - 0
combined - 0
come - 31
comedies - 0
comes - 10
comforts - 0
comic - 0
coming - 3
comitia - 0
command - 37
commanded - 5
commander - 0
commanderinchief - 2
commanders - 0
commanding - 3
commands - 7
commenced - 2
commences - 0
commend - 3
commendable - 2
commendation - 2
commended - 0
commends - 0
commerce - 4
commercial - 3
commission - 0
commissioners - 0
commit - 0
committed - 3
commodious - 0
commodities - 0
commodity - 0
common - 157
commonalty - 6
commons - 2
commonwealth - 2
commotion - 2
commotions - 8
communicate - 2
communication - 0
communion - 0
communities - 13
community - 146
communitys - 0
compact - 2
companies - 2
companion - 2
companions - 0
company - 2
comparative - 0
compare - 2
compared - 4
comparison - 6
compassionate - 0
compatible - 0
compel - 3
compelled - 2
compelling - 0
compels - 0
compilation - 0
complain - 0
complains - 0
complaint - 0
complaints - 2
complement - 0
complete - 14
completed - 0
completely - 7
completion - 0
complex - 0
complexion - 0
compliance - 5
comply - 6
complying - 3
component - 0
compose - 17
composed - 48
composes - 3
composing - 0
composition - 4
compounded - 2
comprehend - 4
comprehended - 0
comprehends - 3
comprehensive - 2
compressed - 0
compression - 0
compromises - 0
compulsion - 2
computer - 2
computers - 2
concealed - 2
conceive - 2
conceived - 2
conceives - 0
concept - 2
conception - 5
concern - 3
concerned - 3
concerning - 45
concerns - 5
concert - 3
conclude - 7
conclusion - 2
concord - 0
concrete - 0
concurs - 0
condemn - 0
condemned - 2
condemning - 3
condemns - 2
condition - 4
conditions - 0
conduce - 0
conduces - 0
conducive - 6
conduct - 24
conducted - 7
conducting - 0
confederacy - 4
confer - 3
conferred - 2
confessedly - 0
confidence - 11
confine - 4
confined - 7
confirmation - 0
confirmed - 2
confirming - 0
confiscate - 0
confiscating - 0
confiscation - 0
confiscations - 3
conflicting - 2
conformity - 0
confusion - 4
confuted - 2
conjectures - 0
conjunct - 0
conjunction - 0
conjuncture - 0
connected - 9
connecting - 0
connection - 9
connections - 4
conquer - 3
conquered - 2
conquerors - 4
conquest - 3
conquests - 0
consanguinity - 0
conscious - 2
consent - 5
consentaneous - 0
consequence - 41
consequences - 7
consequential - 0
consider - 56
considerable - 7
considerably - 0
consideration - 13
considerations - 2
considered - 31
considering - 5
considers - 6
consist - 19
consisted - 5
consistent - 3
consisting - 4
consists - 44
consonant - 3
conspicuous - 0
conspiracies - 5
conspiracy - 7
conspire - 14
conspired - 8
constant - 2
constitute - 7
constituted - 6
constitutes - 4
constitution - 41
constitutional - 2
constitutionit - 0
constitutions - 12
constructed - 3
construction - 0
consult - 4
consulted - 4
consume - 2
consummated - 0
contact - 4
contain - 9
contained - 0
containing - 0
contains - 9
contemplation - 2
contempt - 16
contend - 4
content - 6
contented - 0
contention - 0
contiguous - 0
continent - 0
continual - 3
continually - 20
continuance - 3
continuation - 0
continue - 24
continued - 10
continues - 10
continuing - 3
continuity - 0
contract - 5
contracted - 4
contracts - 10
contradictory - 0
contraries - 2
contrariwise - 0
contrary - 74
contribute - 10
contributed - 4
contributes - 4
contributions - 3
contrivance - 3
contrivances - 0
contrive - 4
contrived - 10
control - 9
conveniences - 0
convenient - 8
conversant - 7
conversation - 3
converse - 0
convert - 0
convey - 0
conveyance - 0
conveyed - 0
convince - 2
convinced - 3
convinces - 0
cook - 0
cookery - 2
cooperation - 0
cope - 0
copied - 2
copies - 8
copy - 13
copying - 4
copyright - 13
corinth - 6
corinthian - 0
corn - 3
cornmeters - 0
corporal - 0
corporation - 0
corporeal - 0
correct - 11
corrected - 2
correction - 2
corrections - 0
correctly - 2
correspond - 4
correspondent - 13
corresponding - 0
corresponds - 3
corrupt - 5
corrupted - 4
corrupting - 0
corruption - 8
corruptions - 2
cos - 2
cost - 3
costs - 2
could - 49
council - 16
counsel - 0
counsellors - 2
counselors - 0
counsels - 0
countenance - 0
counterpart - 0
countries - 3
country - 54
couple - 0
courage - 24
courageous - 5
course - 20
court - 19
courts - 19
covenant - 0
covet - 2
coward - 3
cows - 0
craftily - 0
craftsman - 2
create - 2
created - 7
creates - 0
creating - 5
creation - 5
creatures - 2
credit - 6
creditable - 0
creswell - 0
cretan - 4
cretans - 11
crete - 22
crew - 2
crichton - 0
crime - 0
crimes - 7
criminal - 0
crimmin - 0
criterion - 3
critical - 3
criticises - 0
criticism - 2
criticisms - 0
crooked - 0
crop - 0
crown - 0
cruel - 5
cubits - 0
cultivate - 8
cultivated - 6
cultivating - 0
cuma - 0
cume - 0
cup - 0
cups - 0
cure - 4
curing - 2
curiously - 0
current - 0
curry - 0
custody - 0
custom - 23
customary - 4
customs - 16
cyposelidse - 0
cyprian - 0
cypselidse - 0
cypselus - 3
cyrene - 4
cyrus - 2
d - 6
dacier - 0
dadaluss - 0
daedalus - 0
daily - 3
damage - 2
damaged - 0
damages - 5
damagesexcept - 0
dancers - 0
dancing - 0
danger - 8
dangerous - 4
dangers - 2
daphnseus - 0
darda - 0
dare - 0
dares - 0
darius - 0
data - 0
date - 4
daughter - 2
daughters - 0
davidson - 0
davis - 0
day - 5
days - 9
de - 7
dead - 0
deal - 4
dealers - 0
dealing - 2
dealings - 0
dear - 0
dearest - 0
death - 7
debasing - 0
debate - 0
debated - 2
debating - 0
decamnichus - 0
decay - 0
deceitful - 2
deceive - 2
deceived - 2
deceiving - 0
december - 0
decency - 2
decide - 9
decides - 2
declaration - 0
declarations - 0
declared - 0
declaring - 0
declinations - 0
decline - 2
declined - 0
decorum - 0
decrease - 0
decreases - 0
decreasing - 0
decrees - 4
dedicated - 0
deductible - 0
deeds - 0
deemed - 0
deepseated - 0
defect - 4
defective - 5
defects - 8
defence - 8
defend - 6
defended - 0
defenders - 2
defensive - 0
deficiencies - 3
deficiency - 2
deficient - 6
define - 5
defined - 0
defines - 0
definition - 8
deform - 0
deforming - 0
defrauded - 0
defrayed - 2
degeneracies - 2
degenerate - 2
degenerated - 0
degenerating - 2
degree - 21
degrees - 7
deity - 0
delegated - 3
delegating - 2
deletions - 0
deliberate - 3
deliberately - 0
deliberation - 0
deliberative - 8
delicate - 2
delicately - 2
deliver - 3
delivered - 3
delphi - 0
delphic - 0
delphos - 2
demagogue - 3
demagogues - 26
demand - 2
demanded - 0
demands - 3
democracies - 59
democracy - 185
democratic - 15
democratical - 10
democrats - 2
demonax - 0
denies - 0
dent - 0
depart - 0
departed - 2
department - 10
departments - 5
depend - 11
depended - 4
dependence - 0
dependent - 3
depending - 0
depends - 8
deposited - 2
deprave - 0
depraved - 0
deprive - 4
deprived - 7
deprives - 3
deputing - 0
derivative - 3
derive - 0
derived - 3
derives - 0
descendants - 5
descended - 2
descending - 0
descent - 3
describe - 5
described - 19
describes - 0
describing - 2
description - 8
deserts - 0
deserve - 2
deserved - 0
deserves - 0
deserving - 0
design - 3
designs - 2
desirable - 9
desire - 34
desired - 3
desires - 6
desiring - 3
desirous - 27
despair - 0
despicable - 0
despise - 3
despised - 2
despising - 3
despite - 0
despotic - 15
despotical - 0
despotically - 3
despotism - 3
destroy - 12
destroyed - 21
destroying - 0
destroys - 2
destruction - 15
destructive - 4
detach - 0
detached - 0
details - 0
detect - 0
detected - 2
detection - 0
determinate - 3
determination - 0
determinations - 2
determine - 58
determined - 20
determines - 0
determining - 6
detestation - 2
detested - 2
dethrone - 0
dethroned - 0
detrimental - 2
deviations - 0
device - 0
devolved - 0
devolves - 0
devoted - 0
devotions - 0
devour - 0
devoured - 0
diagoras - 0
dialogue - 3
diametrically - 0
dictates - 2
did - 40
didot - 0
die - 3
died - 3
dies - 0
diet - 4
differ - 42
differed - 0
difference - 43
differences - 5
different - 276
differently - 3
differing - 3
differs - 4
difficult - 28
difficulties - 4
difficulty - 16
dignity - 7
digression - 0
diminish - 0
diminutive - 0
diocles - 0
diodes - 0
dion - 4
dionysius - 12
diophantus - 0
dip - 0
direct - 8
directed - 3
direction - 5
directions - 2
directly - 6
director - 0
directs - 4
disadvantage - 0
disadvantageous - 2
disagree - 2
disagreeable - 0
disagreement - 2
disapprove - 2
disapproved - 0
discarded - 0
discern - 0
discerned - 2
discharge - 0
discipline - 3
disciplined - 2
disclaim - 0
disclaimer - 3
disclaimers - 0
discommends - 0
discontinue - 0
discord - 0
discords - 0
discourse - 2
discourses - 4
discover - 0
discovered - 2
discretion - 2
discretionary - 0
discusses - 0
disdain - 0
disease - 0
diseased - 0
disengaged - 2
disgrace - 3
disgraced - 0
disgraceful - 2
disgracing - 0
disgust - 0
dishonesty - 0
dishonour - 0
dishonourable - 0
disk - 0
disliked - 0
disobeying - 0
disorder - 3
disorderly - 0
disorders - 0
dispassionate - 0
dispersed - 3
dispirited - 0
display - 0
displayed - 0
displaying - 4
displeased - 2
disposal - 0
dispose - 0
disposed - 4
disposition - 29
dispositions - 7
disproportionally - 0
disproportionate - 4
dispute - 23
disputed - 0
disputes - 20
disquisition - 0
disregard - 0
disregarded - 0
disreputable - 0
dissensions - 2
disservice - 3
disserviceable - 0
dissimilar - 0
dissimilarity - 0
dissolution - 3
dissolve - 4
dissolved - 2
distance - 6
distances - 0
distant - 3
distempers - 0
distinct - 7
distinction - 16
distinctions - 5
distinctly - 0
distinguish - 7
distinguished - 8
distorted - 0
distribute - 7
distributed - 5
distributing - 8
distribution - 10
distributive - 0
distributively - 0
distributor - 0
distrust - 0
distrusts - 0
disturb - 0
disturbance - 2
disturbances - 0
disturbs - 0
dithyrambic - 2
dittmeyer - 0
divide - 9
divided - 54
divides - 0
dividing - 4
divine - 0
division - 10
divisions - 7
do - 178
docks - 0
doctor - 2
doctrine - 0
does - 47
dogs - 2
doing - 15
domain - 8
domestic - 18
dominion - 3
donate - 3
donation - 0
donations - 15
done - 66
donors - 0
dont - 0
doric - 8
double - 2
doubt - 26
doubted - 2
doubtful - 6
doubts - 8
down - 21
downloading - 0
doxander - 0
dr - 3
drachmas - 0
draco - 0
dracos - 0
dragging - 0
draw - 4
drawn - 3
dreaded - 0
drew - 5
drink - 3
drive - 3
driven - 4
drives - 0
drop - 0
dropped - 0
drove - 0
drunk - 3
drunkard - 2
drunken - 0
drunkenness - 2
dry - 0
ductility - 0
due - 7
dug - 0
dulcimer - 0
duly - 0
durable - 0
duration - 4
during - 14
duties - 0
dutton - 0
duty - 9
dwell - 2
dying - 0
dymes - 0
dynastic - 0
dynasties - 3
dynasty - 7
dyrrachium - 2
e - 44
each - 241
eager - 2
eagerly - 2
ear - 3
earlier - 0
early - 3
earn - 0
earnest - 2
earnestly - 2
ears - 4
earth - 5
ease - 2
eases - 0
easier - 4
easiest - 0
easily - 32
east - 2
easy - 39
eat - 3
eatable - 0
eating - 0
ebook - 11
ebooks - 7
economic - 2
economy - 14
ed - 0
edicts - 0
edifices - 2
edited - 4
edition - 11
editions - 8
editorship - 0
educate - 2
educated - 7
educating - 0
education - 68
educational - 2
educationfor - 0
educators - 2
eets - 0
effect - 8
effected - 2
effects - 4
effeminacy - 0
effeminate - 2
efficient - 2
efficients - 0
effort - 2
efforts - 3
egypt - 7
eight - 0
eighteen - 3
eighth - 3
ein - 0
either - 157
elapsed - 2
elder - 5
elders - 0
eldest - 0
eldred - 2
elect - 21
elected - 19
electing - 11
election - 16
elections - 2
elective - 5
electronic - 27
electronically - 2
elegance - 2
elegancies - 0
elegant - 2
elegantly - 0
element - 0
elementary - 0
elements - 2
elevated - 0
eleven - 0
eleventh - 0
eligible - 18
elis - 0
ellis - 2
eloquence - 0
else - 48
elsewhere - 0
email - 4
embassy - 0
embellished - 0
embody - 0
embrace - 2
eminence - 2
eminences - 0
eminent - 5
eminently - 2
emolument - 0
emotions - 0
empire - 0
empiricism - 0
employ - 24
employed - 37
employee - 0
employees - 2
employing - 0
employment - 25
employments - 29
employs - 2
enable - 7
enabled - 2
enables - 3
enact - 3
enacted - 0
encircles - 0
enclose - 0
encourage - 4
encroach - 0
encroaches - 0
encroaching - 2
encroachments - 2
end - 68
endeavour - 55
endeavoured - 13
endeavouring - 3
endeavours - 3
endowed - 3
endowments - 0
ends - 9
endure - 2
enemies - 11
enemy - 13
energic - 0
energies - 0
energy - 0
enforce - 0
engage - 12
engaged - 12
engagement - 0
engagements - 0
engages - 0
english - 8
engrossing - 2
enjoined - 0
enjoy - 39
enjoyed - 4
enjoying - 5
enjoyment - 4
enjoyments - 0
enjoys - 5
enlarge - 0
enlarged - 2
enlargedothers - 0
enlisted - 0
enmities - 0
enmity - 2
enormity - 0
enough - 23
enquire - 0
enroll - 0
enrolled - 7
enslave - 0
ensues - 0
ensure - 2
ensured - 0
ensuring - 2
enter - 13
entered - 4
entering - 3
entertain - 7
entertained - 2
entertaining - 0
entertainment - 3
entertainments - 2
enthusiasm - 6
enthusiastic - 0
entire - 6
entirely - 24
entity - 3
entrance - 0
entrust - 9
entrusted - 12
entrusts - 0
enumerate - 3
enumerated - 3
enure - 2
enuring - 0
environment - 0
envy - 3
ephialtes - 2
ephori - 17
epidamnum - 0
epidamnus - 3
epimenides - 0
equal - 74
equalities - 0
equality - 65
equally - 27
equals - 23
equipment - 3
equivocation - 0
erasmus - 0
erect - 4
erected - 2
eretria - 0
eretrians - 0
eric - 2
erithria - 0
erotics - 0
err - 3
erroneous - 0
error - 0
errors - 0
escape - 0
escaped - 0
especially - 6
essay - 2
essence - 2
essential - 4
essentially - 0
establish - 35
established - 108
establishes - 0
establishing - 0
establishment - 12
estate - 2
estates - 3
esteem - 7
esteemed - 5
estimate - 0
estimated - 0
estimation - 0
et - 0
etc - 6
eternal - 0
ethic - 2
ethica - 3
ethics - 8
ethiopia - 0
eubulus - 0
eunomia - 0
eunuch - 0
euripides - 6
europe - 3
euruphon - 0
eurytion - 0
euthucrates - 0
euxine - 0
evagoras - 0
even - 54
event - 2
events - 2
ever - 27
every - 229
everymans - 0
everything - 54
everywhere - 6
evident - 142
evidently - 17
evil - 13
evils - 6
evinces - 0
exact - 3
exactly - 4
exactness - 0
exalted - 0
examination - 3
examine - 12
examining - 4
example - 3
examples - 0
exceed - 5
exceeded - 2
exceeds - 4
excel - 8
excelled - 0
excellence - 12
excellences - 0
excellencies - 0
excellent - 29
excellently - 0
excelling - 0
excels - 3
except - 19
excepting - 4
exception - 3
exceptions - 0
excess - 10
excesses - 9
excessive - 3
exchange - 11
exchanged - 2
exchangemen - 3
exchangemob - 0
exchanges - 0
exchanging - 0
exchequer - 0
excite - 4
excited - 2
exclude - 0
excluded - 3
exclusion - 0
exclusive - 0
excuse - 0
excused - 3
execute - 14
executed - 7
execution - 6
executive - 4
exempt - 2
exempted - 0
exercise - 12
exerciseand - 0
exercised - 3
exercises - 34
exercising - 2
exertion - 0
exhibit - 2
exhibited - 0
exhortations - 0
exigencies - 3
exiles - 0
exist - 15
existed - 0
existence - 7
existing - 5
exists - 5
exoteric - 0
expect - 3
expectations - 3
expected - 5
expects - 0
expeditions - 3
expel - 2
expelled - 5
expend - 0
expenditures - 0
expense - 9
expenses - 3
expensive - 3
experience - 15
expert - 3
experts - 2
expiation - 0
explain - 4
explained - 6
explains - 3
explanation - 4
explicit - 2
exploited - 0
export - 0
exporting - 2
exports - 0
exposed - 5
exposing - 0
express - 9
expressed - 2
expresses - 3
expressing - 0
expression - 8
expressions - 0
expressly - 2
expulsion - 2
extant - 0
extend - 11
extended - 5
extends - 3
extensive - 14
extent - 14
external - 7
extol - 0
extolling - 0
extreme - 5
extremely - 2
extremes - 3
extremities - 0
extremity - 0
exuberance - 0
eye - 11
eyes - 3
f - 15
fable - 2
fabric - 0
fabulous - 0
face - 3
facility - 0
facsimile - 0
fact - 6
factions - 0
factious - 0
facts - 6
faculty - 2
failed - 3
failure - 3
fair - 7
fairbanks - 0
fairly - 0
faithful - 0
fall - 8
fallacies - 0
fallacious - 3
fallen - 0
falling - 2
false - 4
falsity - 0
familiar - 0
familiarity - 0
